scenario,remediation_cost_per_hh,threshold_usd_per_daly,breakeven_prevalence,breakeven_prevalence_pct
central,200,500,inf,never
central,200,1000,inf,never
central,200,1500,inf,never
central,200,3000,inf,never
central,200,5000,inf,never
central,200,10000,0.037116255017966907,3.71%
central,200,50000,0.003969161624971729,0.40%
cheap,50,500,inf,never
cheap,50,1000,inf,never
cheap,50,1500,0.9004195924148141,90.04%
cheap,50,3000,0.10473295187702948,10.47%
cheap,50,5000,0.04808133052333479,4.81%
cheap,50,10000,0.020440244714454353,2.04%
cheap,50,50000,0.0036506597082308777,0.37%
expensive,1000,500,inf,never
expensive,1000,1000,inf,never
expensive,1000,1500,inf,never
expensive,1000,3000,inf,never
expensive,1000,5000,inf,never
expensive,1000,10000,inf,never
expensive,1000,50000,0.007423251003593382,0.74%
